team,no,name,birth,height,weight,throw,bat,position,note
東北楽天ゴールデンイーグルス,57,瀧中　瞭太,1994.12.20,180,93,右,右,投手,
東北楽天ゴールデンイーグルス,58,辛島　航,1990.10.18,173,72,左,左,投手,
東北楽天ゴールデンイーグルス,59,泰　勝利,2003.11.11,172,82,左,右,投手,
東北楽天ゴールデンイーグルス,61,古賀　康誠,2004.09.03,181,81,左,左,投手,
東北楽天ゴールデンイーグルス,62,西口　直人,1996.11.14,183,83,右,右,投手,
東北楽天ゴールデンイーグルス,64,林　優樹,2001.10.29,173,73,左,左,投手,
東北楽天ゴールデンイーグルス,66,今野　龍太,1995.05.11,178,86,右,右,投手,
東北楽天ゴールデンイーグルス,67,大内　誠弥,2006.03.09,191,77,右,右,投手,
東北楽天ゴールデンイーグルス,69,内　星龍,2002.04.24,190,88,右,左,投手,
東北楽天ゴールデンイーグルス,71,柴田　大地,1997.11.07,180,94,右,右,投手,
東北楽天ゴールデンイーグルス,79,伊藤　大晟,2007.10.27,174,76,左,左,投手,
東北楽天ゴールデンイーグルス,2,太田　光,1996.10.14,178,76,右,右,捕手,
東北楽天ゴールデンイーグルス,27,伊藤　光,1989.04.23,180,88,右,右,捕手,
東北楽天ゴールデンイーグルス,44,田中　貴也,1992.08.27,178,85,右,左,捕手,
東北楽天ゴールデンイーグルス,55,YG安田,2000.03.03,185,105,右,左,捕手,
東北楽天ゴールデンイーグルス,65,堀内　謙伍,1997.04.15,174,82,右,左,捕手,
東北楽天ゴールデンイーグルス,70,石原　彪,1999.03.08,172,96,右,右,捕手,
東北楽天ゴールデンイーグルス,72,大栄　利哉,2007.04.23,178,85,右,左,捕手,
東北楽天ゴールデンイーグルス,0,小深田　大翔,1995.09.28,168,69,右,左,内野手,
東北楽天ゴールデンイーグルス,1,宗山　塁,2003.02.27,175,79,右,左,内野手,
東北楽天ゴールデンイーグルス,3,浅村　栄斗,1990.11.12,182,90,右,右,内野手,
東北楽天ゴールデンイーグルス,6,村林　一輝,1997.10.06,180,73,右,右,内野手,
東北楽天ゴールデンイーグルス,7,鈴木　大地,1989.08.18,175,79,右,左,内野手,
東北楽天ゴールデンイーグルス,9,ボイト,1991.02.13,188,117,右,右,内野手,
東北楽天ゴールデンイーグルス,24,黒川　史陽,2001.04.17,182,86,右,左,内野手,
東北楽天ゴールデンイーグルス,30,繁永　晟,2003.04.25,174,88,右,右,内野手,
東北楽天ゴールデンイーグルス,35,渡邊　佳明,1997.01.08,180,79,右,左,内野手,
東北楽天ゴールデンイーグルス,39,伊藤　裕季也,1996.08.30,181,95,右,右,内野手,
東北楽天ゴールデンイーグルス,48,平良　竜哉,1998.07.09,170,78,右,右,内野手,
東北楽天ゴールデンイーグルス,60,ワォーターズ,2005.10.14,178,76,右,右,内野手,
東北楽天ゴールデンイーグルス,63,入江　大樹,2002.06.06,185,83,右,右,内野手,
東北楽天ゴールデンイーグルス,68,青野　拓海,2005.07.26,180,85,右,右,内野手,
東北楽天ゴールデンイーグルス,73,小森　航大郎,2003.04.30,173,83,右,右,内野手,
東北楽天ゴールデンイーグルス,75,陽　柏翔,2005.01.23,174,75,右,左,内野手,
東北楽天ゴールデンイーグルス,98,金子　京介,2004.01.18,186,100,右,右,内野手,5/15 育成選手から支配下選手へ移行
東北楽天ゴールデンイーグルス,8,辰己　涼介,1996.12.27,180,74,右,左,外野手,
東北楽天ゴールデンイーグルス,25,田中　和基,1994.08.08,181,75,右,左右,外野手,
東北楽天ゴールデンイーグルス,32,中島　大輔,2001.06.04,180,78,右,左,外野手,
東北楽天ゴールデンイーグルス,34,マッカスカー,1998.05.22,203,113,右,右,外野手,
東北楽天ゴールデンイーグルス,36,吉納　翼,2002.08.16,180,89,右,左,外野手,
東北楽天ゴールデンイーグルス,38,佐藤　直樹,1998.09.03,178,85,右,右,外野手,
東北楽天ゴールデンイーグルス,42,阪上　翔也,2003.11.01,180,90,右,左,外野手,
東北楽天ゴールデンイーグルス,50,武藤　敦貴,2001.06.15,178,73,左,左,外野手,
東北楽天ゴールデンイーグルス,51,小郷　裕哉,1996.08.03,178,85,右,左,外野手,
東北楽天ゴールデンイーグルス,78,吉野　創士,2003.10.27,186,78,右,右,外野手,
北海道日本ハムファイターズ,12,矢澤　宏太,2000.08.02,173,72,左,左,投手,
北海道日本ハムファイターズ,13,生田目　翼,1995.02.19,176,95,右,右,投手,
北海道日本ハムファイターズ,14,加藤　貴之,1992.06.03,182,93,左,左,投手,
北海道日本ハムファイターズ,15,北山　亘基,1999.04.10,182,87,右,右,投手,
北海道日本ハムファイターズ,16,達　孝太,2004.03.27,194,101,右,右,投手,
北海道日本ハムファイターズ,17,伊藤　大海,1997.08.31,176,85,右,左,投手,
北海道日本ハムファイターズ,18,山﨑　福也,1992.09.09,188,99,左,左,投手,
北海道日本ハムファイターズ,19,玉井　大翔,1992.06.16,178,80,右,右,投手,
北海道日本ハムファイターズ,20,上原　健太,1994.03.29,191,100,左,左,投手,
北海道日本ハムファイターズ,24,金村　尚真,2000.08.29,176,89,右,右,投手,
北海道日本ハムファイターズ,25,宮西　尚生,1985.06.02,180,81,左,左,投手,
北海道日本ハムファイターズ,26,田中　正義,1994.07.19,188,96,右,右,投手,
北海道日本ハムファイターズ,27,大川　慈英,2003.10.28,178,70,右,左,投手,
北海道日本ハムファイターズ,28,河野　竜生,1998.05.30,175,92,左,左,投手,
北海道日本ハムファイターズ,29,細野　晴希,2002.02.26,180,88,左,左,投手,
北海道日本ハムファイターズ,30,ラオ,1999.08.14,188,82,右,右,投手,1/30 支配下選手登録
北海道日本ハムファイターズ,31,柴田　獅子,2006.04.18,187,95,右,左,投手,
北海道日本ハムファイターズ,32,藤田　琉生,2006.11.17,198,107,左,左,投手,
北海道日本ハムファイターズ,34,堀　瑞輝,1998.05.10,177,91,左,左,投手,
北海道日本ハムファイターズ,35,浅利　太門,2002.09.06,186,92,右,右,投手,
北海道日本ハムファイターズ,37,古林　睿煬,2000.06.12,184,100,右,右,投手,
北海道日本ハムファイターズ,40,島本　浩也,1993.02.14,176,73,左,左,投手,
北海道日本ハムファイターズ,41,福谷　浩司,1991.01.09,183,98,右,右,投手,
北海道日本ハムファイターズ,45,福島　蓮,2003.04.25,190,81,右,右,投手,
北海道日本ハムファイターズ,46,畔柳　亨丞,2003.05.03,178,92,右,右,投手,
北海道日本ハムファイターズ,47,柳川　大晟,2003.08.21,191,96,右,右,投手,
北海道日本ハムファイターズ,48,齋藤　友貴哉,1995.01.05,184,92,右,左,投手,
北海道日本ハムファイターズ,52,池田　隆英,1994.10.01,181,93,右,右,投手,
北海道日本ハムファイターズ,55,菊地　大稀,1999.06.02,186,97,右,左,投手,
北海道日本ハムファイターズ,62,清水　大暉,2006.07.17,195,105,右,右,投手,
北海道日本ハムファイターズ,63,山城　航太郎,2002.09.03,183,91,右,右,投手,
北海道日本ハムファイターズ,67,山本　拓実,2000.01.31,167,84,右,右,投手,
北海道日本ハムファイターズ,74,有原　航平,1992.08.11,190,100,右,右,投手,
北海道日本ハムファイターズ,93,松岡　洸希,2000.08.31,180,85,右,右,投手,6/19 育成選手から支配下選手へ移行
北海道日本ハムファイターズ,94,清宮　虎多朗,2000.05.26,190,104,右,左,投手,7/30 育成選手から支配下選手へ移行
北海道日本ハムファイターズ,96,孫　易磊,2005.02.10,183,96,右,左,投手,
