team,no,name,birth,height,weight,throw,bat,position,note
阪神タイガース,2,梅野　隆太郎,1991.06.17,173,75,右,右,捕手,
阪神タイガース,12,坂本　誠志郎,1993.11.10,176,79,右,右,捕手,
阪神タイガース,17,伏見　寅威,1990.05.12,182,89,右,右,捕手,
阪神タイガース,39,榮枝　裕貴,1998.05.16,180,84,右,右,捕手,
阪神タイガース,43,町田　隼乙,2003.04.03,186,86,右,右,捕手,
阪神タイガース,57,長坂　拳弥,1994.04.28,173,84,右,右,捕手,
阪神タイガース,59,藤田　健斗,2001.10.18,173,78,右,右,捕手,
阪神タイガース,68,中川　勇斗,2004.01.27,172,76,右,右,捕手,
阪神タイガース,85,嶋村　麟士朗,2003.07.13,177,90,右,左,捕手,3/11 育成選手から支配下選手へ移行
阪神タイガース,00,元山　飛優,1998.12.04,181,82,右,左,内野手,
阪神タイガース,0,木浪　聖也,1994.06.15,179,81,右,左,内野手,
阪神タイガース,3,大山　悠輔,1994.12.19,181,96,右,右,内野手,
阪神タイガース,4,熊谷　敬宥,1995.11.10,175,69,右,右,内野手,
阪神タイガース,7,中野　拓夢,1996.06.28,172,68,右,左,内野手,
阪神タイガース,8,佐藤　輝明,1999.03.13,187,96,右,左,内野手,
阪神タイガース,9,立石　正広,2003.11.01,180,87,右,右,内野手,
阪神タイガース,24,ディベイニー,1997.04.13,185,88,右,右,内野手,
阪神タイガース,25,谷端　将伍,2004.03.17,178,80,右,右,内野手,
阪神タイガース,33,糸原　健斗,1992.11.11,175,80,右,左,内野手,
阪神タイガース,38,小幡　竜平,2000.09.21,184,78,右,左,内野手,
阪神タイガース,45,佐野　大陽,2002.02.14,178,79,右,右,内野手,
阪神タイガース,52,山田　脩也,2005.08.20,177,72,右,右,内野手,
阪神タイガース,56,百﨑　蒼生,2005.09.11,179,77,右,右,内野手,
阪神タイガース,62,植田　海,1996.04.19,175,69,右,左右,内野手,
阪神タイガース,67,髙寺　望夢,2002.10.17,178,78,右,左,内野手,
阪神タイガース,1,森下　翔太,2000.08.14,182,93,右,右,外野手,
阪神タイガース,5,近本　光司,1994.11.09,171,71,左,左,外野手,
阪神タイガース,32,濱田　太貴,2000.09.04,177,81,右,右,外野手,
阪神タイガース,34,岡城　快生,2003.06.23,183,83,右,右,外野手,
阪神タイガース,40,井坪　陽生,2005.03.17,177,89,右,右,外野手,
阪神タイガース,53,島田　海吏,1996.02.06,176,74,右,左,外野手,
阪神タイガース,58,前川　右京,2003.05.18,176,92,左,左,外野手,
阪神タイガース,60,小野寺　暖,1998.03.17,183,81,右,右,外野手,
阪神タイガース,61,豊田　寛,1997.04.28,178,87,右,右,外野手,
阪神タイガース,92,福島　圭音,2001.10.06,171,69,右,左,外野手,3/30 育成選手から支配下選手へ移行
阪神タイガース,94,ガルシア,1998.01.07,188,107,右,右,外野手,7/21 支配下選手登録
広島東洋カープ,11,齊藤　汰直,2003.12.07,183,90,右,右,投手,
広島東洋カープ,13,森浦　大輔,1998.06.15,175,78,左,左,投手,
広島東洋カープ,14,大瀬良　大地,1991.06.17,188,94,右,右,投手,
広島東洋カープ,16,森　翔平,1998.01.01,177,86,左,左,投手,
広島東洋カープ,17,常廣　羽也斗,2001.09.18,180,82,右,右,投手,
広島東洋カープ,18,森下　暢仁,1997.08.25,181,81,右,右,投手,
広島東洋カープ,19,床田　寛樹,1995.03.01,181,94,左,左,投手,
広島東洋カープ,20,栗林　良吏,1996.07.09,177,88,右,右,投手,
広島東洋カープ,21,中﨑　翔太,1992.08.10,187,101,右,右,投手,
広島東洋カープ,22,髙　太一,2001.07.26,179,89,左,左,投手,
広島東洋カープ,24,黒原　拓未,1999.11.29,173,83,左,左,投手,
広島東洋カープ,26,益田　武尚,1998.10.06,174,86,右,右,投手,
広島東洋カープ,28,佐藤　柳之介,2002.11.01,179,88,左,左,投手,
広島東洋カープ,29,ケムナ　誠,1995.06.05,190,98,右,右,投手,
広島東洋カープ,30,滝田　一希,2001.12.28,183,89,左,左,投手,
広島東洋カープ,34,高橋　昂也,1998.09.27,182,91,左,左,投手,
広島東洋カープ,35,工藤　泰己,2003.09.29,175,87,右,右,投手,
広島東洋カープ,36,塹江　敦哉,1997.02.21,178,89,左,左,投手,
広島東洋カープ,38,赤木　晴哉,2003.10.05,191,86,右,右,投手,
広島東洋カープ,39,長谷部　銀次,1998.07.29,184,90,左,左,投手,
広島東洋カープ,41,鈴木　健矢,1997.12.11,176,80,右,左,投手,
広島東洋カープ,42,ターノック,1998.11.24,193,105,右,右,投手,
広島東洋カープ,43,島内　颯太郎,1996.10.14,180,84,右,右,投手,
広島東洋カープ,45,松本　竜也,1999.09.18,178,100,右,右,投手,
広島東洋カープ,46,髙木　快大,2004.03.19,180,80,右,右,投手,
広島東洋カープ,47,斉藤　優汰,2004.05.27,189,99,右,左,投手,
広島東洋カープ,48,アドゥワ　誠,1998.10.02,196,80,右,右,投手,
広島東洋カープ,50,杉田　健,2001.08.28,188,85,右,右,投手,7/21 育成選手から支配下選手へ移行
広島東洋カープ,53,岡本　駿,2002.06.12,186,89,右,左,投手,
広島東洋カープ,65,玉村　昇悟,2001.04.16,179,89,左,左,投手,
広島東洋カープ,66,遠藤　淳志,1999.04.08,186,90,右,右,投手,
広島東洋カープ,67,菊地　ハルン,2007.01.21,200,117,右,右,投手,
